name_town;group_town;insee_town
Agudelle;Sud-Est;17 002
Aigrefeuille-d'Aunis;Nord-Ouest;17 003
Aix (Ile d');Sud-Ouest;17 004
Allas-Bocage;Sud-Est;17 005
Allas-Champagne;Sud-Est;17 006
Anais;Nord-Ouest;17 007
Andilly;Nord-Ouest;17 008
Angliers;Nord-Ouest;17 009
Angoulins;Nord-Ouest;17 010
Annepont;Nord-Est;17 011
Annezay;Nord-Est;17 012
Antezant-la-Chapelle;Nord-Est;17 013
Arces;Sud-Ouest;17 015
Archiac;Sud-Est;17 016
Archingeay;Nord-Est;17 017
Ardillières;Nord-Ouest;17 018
Ars-en-Ré;Nord-Ouest;17 019
Arthenac;Sud-Est;17 020
Arvert;Sud-Ouest;17 021
Asnières-la-Giraud;Nord-Est;17 022
Aujac;Nord-Est;17 023
Aulnay;Nord-Est;17 024
Aumagne;Nord-Est;17 025
Authon-Ebéon;Nord-Est;17 026
Avy;Sud-Est;17 027
Aytré;Nord-Ouest;17 028
Bagnizeau;Nord-Est;17 029
Balanzac;Nord-Est;17 030
Ballans;Nord-Est;17 031
Ballon;Nord-Ouest;17 032
Barde (La);Sud-Est;17 033
Barzan;Sud-Ouest;17 034
Bazauges;Nord-Est;17 035
Beaugeay;Sud-Ouest;17 036
Beauvais-sur-Matha;Nord-Est;17 037
Bédenac;Sud-Est;17 038
Belluire;Sud-Est;17 039
Benon;Nord-Ouest;17 041
Bercloux;Nord-Est;17 042
Bernay-Saint-Martin;Nord-Est;17 043
Berneuil;Nord-Est;17 044
Beurlay;Nord-Est;17 045
Bignay;Nord-Est;17 046
Biron;Sud-Est;17 047
Blanzac-lès-Matha;Nord-Est;17 048
Blanzay-sur-Boutonne;Nord-Est;17 049
Bois;Sud-Est;17 050
Bois-Plage-en-Ré (Le);Nord-Ouest;17 051
Boisredon;Sud-Est;17 052
Bords;Nord-Est;17 053
Boresse-et-Martron;Sud-Est;17 054
Boscamnant;Sud-Est;17 055
Bougneau;Sud-Est;17 056
Bouhet;Nord-Ouest;17 057
Bourcefranc-le-Chapus;Sud-Ouest;17 058
Bourgneuf;Nord-Ouest;17 059
Boutenac-Touvent;Sud-Ouest;17 060
Bran;Sud-Est;17 061
Brée-Les-Bains (La);Sud-Ouest;17 486
